candidate_id,candidate_name,canonical_product_family,company,region,product_surfaces,agentic_level,phase1_class,phase1_evidence_grade,phase1_key_rationale,phase3_selection_status,phase3_selection_position,phase3_market_adoption_score,phase3_capability_score,phase3_workflow_innovation_score,phase3_ecosystem_score,phase3_momentum_score,phase3_composite_score,phase3_research_judgment,phase3_selection_rationale,current_evidence_grade,current_confidence,as_of_date,source_refs,phase_refs,notes
CAND-001,Claude Code,Claude Code,Anthropic,Global,"CLI, IDE integration",Software Engineering Agent / Autonomous,Core,A,"2026 independent survey adoption is the highest measured; Anthropic's own study covers about 235,000 users and shows use expanding to higher-level software work",Selected,1,5.0,5.0,5.0,5.0,5.0,5.00,"Market adoption, agent capability and terminal workflow lead simultaneously",Strongest independent adoption signal plus a mature terminal-first agent loop and high-intensity software-engineering usage evidence; represents the shift from IDE assistant to repository task executor. Caveat: Anthropic proprietary usage data does not represent the whole market,A,High,2026-08-31,S001;S003;S022;S023;S024;S025;S026,P1;P2;P3,Phase 1 4.1 #1. Phase 2 12.1 overall evidence grade A. Phase 4 dossier product-01.md
CAND-002,Codex,Codex,OpenAI,Global,"App, CLI, IDE, Cloud",Software Engineering Agent / Autonomous,Core,A,"Unified product family across CLI, App, IDE and Cloud; supports parallel agents, skills, automations and MCP",Selected,2,5.0,5.0,5.0,5.0,5.0,5.00,Global scale plus a cross-surface agent system and cloud delegation; represents the OpenAI agent-native SWE route,"5M+ weekly active users vendor evidence, 16% independent survey signal, and an integrated App/CLI/IDE/Cloud agent system. Caveat: user scale is a vendor claim and usage denominators differ across Codex surfaces",A,High,2026-08-31,S001;S027;S028;S029;S030;S031;S032;S122,P1;P2;P3,Phase 1 4.1 #2. Phase 2 12.1 overall evidence grade A
CAND-003,GitHub Copilot,GitHub Copilot,GitHub / Microsoft,Global,"IDE, CLI, Cloud, GitHub",Agentic Coding / Software Engineering Agent,Core,A,"Broad developer ecosystem with CLI agent, cloud coding agent, custom agents, skills and MCP",Selected,4,5.0,4.5,4.5,5.0,4.5,4.70,One of the largest developer ecosystems and already covers the issue to code to PR agentic workflow,"Very strong ecosystem and enterprise distribution; composes issue/PR, CLI, cloud agent, custom agents, skills and MCP into a GitHub-native engineering workflow. Caveat: as a large product family, traditional completion and agentic surface adoption are hard to separate",A,High,2026-08-31,S001;S043;S044;S045;S046;S047;S048;S049;S050;S051,P1;P2;P3,Phase 1 4.1 #3. Phase 2 12.1 overall evidence grade A
CAND-004,Cursor,Cursor,Anysphere / SpaceX,Global,"IDE, CLI, Cloud, Desktop",Software Engineering Agent,Core,A,AI-native IDE where agents complete coding tasks using terminal and tools; Cloud Agents execute and test in remote VMs. The 2026-08 ownership change is recorded as strategic context,Selected,3,5.0,5.0,5.0,5.0,4.5,4.95,Key representative of the AI-native IDE with cloud and background agents; the strategic environment change does not reduce product representativeness,"One of the AI-native IDE market leaders, extended into Cloud Agents, parallel/background execution, remote VM and browser/desktop control. Caveat: the 2026-08 SpaceX ownership and model-provider dispute is a strategic variable analysed separately in Phase 4",A,High,2026-08-31,S001;S005;S033;S034;S035;S036;S037;S038;S039;S040;S041;S042,P1;P2;P3,Phase 1 4.1 #4. Phase 2 12.1 overall evidence grade A. Acquisition completed 2026-08-14 per Phase 7 2.3; OpenAI wind-down announced 2026-08-28; Reuters reporting 2026-08-29 (hazard H-21)
CAND-005,Devin,Devin,Cognition,Global,"Desktop, Cloud, IDE, CLI ecosystem",Autonomous Software Engineering Agent,Core,B,Devin Desktop is Windsurf under a new name; the product emphasises a local plus cloud agent fleet. The vendor page claims 1M+ users and 4000+ enterprise customers,Selected,5,4.0,5.0,5.0,5.0,4.5,4.65,Representative of autonomous SWE and agent fleets although independent adoption evidence is weaker than the leaders,One of the clearest autonomous SWE and agent-fleet representatives; changes the workflow from one developer operating an IDE to a human managing multiple agent workstreams. Caveat: 1M+ users and 4000+ enterprise customers are vendor claims,B,Medium-High,2026-08-31,S052;S053;S054;S055;S056,P1;P2;P3,Phase 1 4.1 #5. Phase 2 12.1 overall evidence grade recorded as B+/A-; canonical grade retained as Phase 1 B per 08-sources.md Section C rule R2 (hazard H-08). Windsurf merged into this family
CAND-006,Google Antigravity,Google Antigravity,Google,Global,"Desktop, CLI, Cloud/API, IDE integrations",Autonomous Software Engineering Agent,Core,A,"Standalone Desktop plus CLI plus agent SDK/runtime; supports parallel/async agents, MCP, subagents, web/Chrome, artifacts and long-task workflows",Selected,6,3.5,5.0,5.0,5.0,5.0,4.55,"Desktop command center, parallel/background agents and CLI/runtime represent the Google next-generation agent workspace","Desktop command center, Antigravity CLI, parallel/background agents, MCP, subagents and browser/tool use form a complete agent workspace paradigm with Google distribution. Caveat: long-term adoption is earlier-stage than mature products and Google product-line integration is fast",A,High,2026-08-31,S057;S058;S059;S060;S061;S062;S063,P1;P2;P3,Phase 1 4.1 #6. Phase 2 12.1 overall evidence grade A. Gemini CLI is merged into this family and must not be double-counted
CAND-007,Kiro,Kiro,AWS,Global,"IDE, CLI, Web, Mobile",Software Engineering Agent / Autonomous,Core,A,"AWS positions Kiro as agentic development with spec-driven development, hooks and a shared agent/harness across surfaces",Near-miss,,2.5,4.5,5.0,5.0,5.0,4.10,Spec-driven development is highly representative but absolute adoption remains Unknown and the Q to Kiro transition complicates the market baseline,"Not selected: the spec-driven workflow is strong, but adoption remains largely Unknown and the Amazon Q Developer to Kiro migration makes the current market baseline hard to compare with mature products. What it lacks: clear current standalone adoption evidence. What could move it into the Top 10: independently verifiable large-scale developer adoption, or spec-driven workflow becoming a clearly mainstream paradigm",A,Medium-High,2026-08-31,S089;S090;S091;S092;S093,P1;P2;P3,Phase 1 4.1 #7. Phase 2 12.1 overall evidence grade recorded as A/B; canonical grade retained as Phase 1 A per rule R2. Amazon Q Developer migrates into this family
CAND-008,Replit Agent,Replit Agent,Replit,Global,"Web / Cloud, Desktop-adjacent workflow",Autonomous / Product-building Agent,Core,A,"Agent 4 emphasises an end-to-end workflow from requirement to runnable product; the official evaluation discusses real user scenarios without repo, tests or framework",Selected,7,4.0,4.5,5.0,4.5,4.5,4.45,The idea to production workflow differs materially from repo-centric SWE and must be represented as a boundary mainstream case,"Not simply a coding agent: treats Idea to App to Runtime to Deployment as one agent workflow, representing the expansion from repo-centric SWE to idea-to-production. Caveat: the 50M+ platform user figure is a Replit platform-level claim and is not equivalent to agent-only adoption",A,Medium-High,2026-08-31,S064;S065;S066;S067;S068,P1;P2;P3,Phase 1 4.1 #8. Phase 2 12.1 overall evidence grade recorded as A/B; canonical grade retained as Phase 1 A per rule R2
CAND-009,OpenCode,OpenCode,OpenCode / SST ecosystem,Global,"CLI, Desktop",Agentic Coding / Software Engineering Agent,Core,A,"Open source MIT, terminal-native; very large public repository community and a Desktop beta; supports multiple providers and build/plan agents",Selected,8,3.5,4.5,5.0,4.5,5.0,4.35,"OSS, provider-agnostic and terminal-native agent harness with architecture significance beyond its scale","Independent adoption signal, a very large OSS ecosystem, a provider-agnostic open harness and terminal-native workflow make it the key representative of open agent architecture. Caveat: commercial scale and enterprise adoption remain materially below the leading commercial products",A,High,2026-08-31,S069;S070;S071;S072;S073,P1;P2;P3,Phase 1 4.1 #9. Phase 2 12.1 overall evidence grade A
CAND-010,OpenHands,OpenHands,OpenHands,Global,"CLI, Cloud, SDK",Software Engineering Agent / Autonomous,Core,A,Open-source AI-driven development platform with MIT core; large GitHub community; representative of the open-source SWE-agent route,Near-miss,,3.0,4.5,4.5,4.5,4.0,4.00,Open-source SWE agent platform is strong but overlaps with OpenCode and Factory on representativeness,"Not selected: the open-source SWE agent platform is important but overlaps with the open-harness representation of OpenCode and the autonomous enterprise representation of Factory. What it lacks: stronger market adoption or a more differentiated workflow signal. What could move it into the Top 10: materially expanded Cloud/Enterprise/SDK adoption, or a stronger self-hosted agent platform paradigm",A,Medium-High,2026-08-31,S095;S096,P1;P2;P3,Phase 1 4.1 #10. Phase 2 12.1 overall evidence grade recorded as A/B; canonical grade retained as Phase 1 A per rule R2
