product_id,product_name,company,top10_locked_position,workflow_paradigm,primary_user,primary_markets,product_surfaces,market_significance,market_signal_type,market_evidence_grade,agentic_level,planning,context,tools,execution,verification,repair,long_running,multi_agent,memory,mcp,skills,sandbox,cloud_agent,model_layer_summary,harness_summary,runtime_summary,workflow_integration_summary,orchestration_summary,human_steering_model,economics_model,ecosystem_summary,unique_insight,phase4_evidence_grade,phase5_evidence_relevance,phase6_category_role,phase7_leadership_role,confidence,as_of_date,source_refs,phase_refs,unknowns,notes
PF-01,Claude Code,Anthropic,1,Terminal-first repository task execution,Developer / technical engineer,Global,"CLI, VS Code, JetBrains, desktop, claude.ai/code, Remote Control, Slack/CI integrations",Stratum A - independently observable mainstream adoption; highest measured independent survey adoption signal,Independent signal; Vendor claim,A,Software Engineering Agent / Autonomous,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Partial,Confirmed,Primarily Anthropic/Claude-centered; model selection is exposed as a runtime choice and varies by task,"Proprietary agentic harness coordinating tools, context, permissions, execution, compaction and extensions","Local machine, Anthropic-managed cloud VMs, and Remote Control where the user drives a local environment from a browser",Entry: high-level engineering task in repo; Exit: verified code change / commit / PR artifact,Subagents and background work,User can interrupt and redirect at any stage; permission modes and tool policies constrain execution,"Anthropic subscription and enterprise plans; Max 5x USD 100/month and Max 20x USD 200/month per the cited help documentation, with plan capacity expressed as approximate prompt ranges; marginal cost per task is not directly recoverable from the product UI","Anthropic model ecosystem, IDE integrations, MCP ecosystem, open shell environment and a growing community of project instruction files and Skills; primitives are filesystem- and protocol-oriented rather than locked to one IDE",Claude Code's biggest innovation is not better code generation; it is making the terminal itself a persistent agent operating environment,Unknown,"Benchmark-supported for repo-level and terminal agent capability via SWE-bench, Kotlin Benchmark and Terminal-Bench; qualified by METR transcript and maintainer-acceptance studies on the autonomy/supervision trade-off",Dominant paradigm: Terminal-first SWE Agent; Secondary overlap: open-ish extensibility / agent-harness orientation,Market Adoption Leader; Terminal SWE Agent Leader,High,2026-08-31,S001;S003;S022;S023;S024;S025;S026,P1;P2;P3;P4;P5;P6;P7,"Internal orchestration graph, planner implementation, reward system and hidden state machine are not publicly disclosed; hidden verification heuristics or an internal success classifier beyond the observable tool-driven loop are not public","Phase 4 assigns no overall Evidence Grade, so phase4_evidence_grade is Unknown rather than derived. Sandbox normalised from Phase 4 'Confirmed / surface-dependent' to Partial per rule R4. market_evidence_grade from Phase 2 4.1 source quality recorded as A/B; canonical value A retained per rule R2. Phase 3 composite 5.00 is a historical research value and is NOT recomputed"
PF-02,Codex,OpenAI,2,Delegated multi-surface / cloud software engineering,Developer / team,Global,"Codex app, CLI, IDE extension, cloud/web/GitHub-connected workflows",Stratum A - independently observable mainstream adoption; fastest-growing major product in the survey window,Independent signal; Vendor claim,A,Software Engineering Agent / Autonomous,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Partial,Confirmed,Confirmed,Confirmed,Confirmed,OpenAI coding/reasoning model family; the active model set changes over time so model choice sits inside a larger Codex system,"Codex harness plus execution environment, tools, worktree/context primitives and user supervision surfaces",Local CLI execution with approval modes plus isolated cloud task environments and worktrees for concurrent change sets,"Entry: delegated software task; Exit: code / test / PR / report, and work can continue in the background",Parallel agents plus Automations for scheduled recurring agent work,User supervises delegated tasks through a review queue and aggregation step before merge/ship,"Included in ChatGPT plans with plan-dependent limits; Codex-only pay-as-you-go seats for Business/Enterprise billed on token consumption, with new Business PAYG Codex-only seats stopped on 2026-06-24","OpenAI ecosystem integrated with GitHub, IDEs and the terminal; Skills and MCP provide a reusable extension layer and Automations connect the agent to organizational rhythms such as issue triage and CI monitoring",Codex treats agent orchestration rather than code generation as the product,Unknown,Terminal-Bench provides direct agent+runtime evidence; benchmark score alone cannot establish cross-surface UX or enterprise workflow superiority,Dominant paradigm: Delegated multi-agent SWE system; Secondary overlap: Terminal-first plus cloud execution,Delegated Multi-agent Leader,High,2026-08-31,S001;S027;S028;S029;S030;S031;S032;S122,P1;P2;P3;P4;P5;P6;P7,"Internal planner topology, hidden evaluator design, routing heuristics and the exact agent state machine are not fully public","Memory normalised from Phase 4 'Confirmed / partially public' to Partial per rule R4. The >5M weekly active users figure is a VENDOR CLAIM from 2026-06-02 and must keep that label. Phase 3 composite 5.00 historical, NOT recomputed"
PF-03,Cursor,Anysphere / SpaceX,3,AI-native IDE evolving into a distributed agent workspace,Developer / team,Global,"Desktop IDE, CLI, web/agents, mobile, Slack/GitHub/Linear entry points, Cloud Agents, self-hosted workers",Stratum A - independently observable mainstream adoption; survey adoption declined relative to the January 2026 baseline,Independent signal,A,Software Engineering Agent,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Partial,Confirmed,Confirmed,Confirmed,Confirmed,Mix of frontier and purpose-built models with model routing available; the exact set changes rapidly,Proprietary Cursor agent harness; the Cloud Agent system uses the same agent fundamentals as local agents while moving execution into isolated virtual machines,Local execution plus dedicated Cloud Agent VMs and customer-managed self-hosted workers including Kubernetes-managed fleets,"Entry: editor task, repo task or remote task; Exit: tested diff / artifact / PR","Parallel local and cloud agents with artifact, diff and test aggregation","Human reviews diffs, artifacts, logs, screenshots and videos; local to cloud handoff supports long-running work","Subscription-based with model/agent consumption layered in across free, individual, team and enterprise tiers; the self-hosted offering separates the control plane from customer-managed workers","VS Code-compatible extension compatibility, model providers, MCP, plugins/skills, GitHub/GitLab/Azure DevOps/Bitbucket connectivity, Slack/GitHub/Linear entry points, enterprise identity/security and customer-managed infrastructure",Cursor's most important lesson is that agent quality is bounded by the quality of the environment in which the agent runs,Unknown,Terminal/repo benchmarks support agentic coding capability; AI-native IDE UX and cloud/background workflow still require product evidence,Dominant paradigm: AI-native IDE to distributed workspace; Secondary overlap: enterprise runtime / cloud agents,AI-native IDE / Distributed Workspace Leader,High,2026-08-31,S001;S005;S033;S034;S035;S036;S037;S038;S039;S040;S041;S042,P1;P2;P3;P4;P5;P6;P7,Complete internal planner/state-machine implementation and exact hidden routing algorithms,"Corporate ownership changed to SpaceX with completion dated 2026-08-14 per Phase 7 2.3; OpenAI model-supply wind-down announced 2026-08-28 with a proposed 2026-11-12 cutoff; Reuters reporting 2026-08-29. Corporate status is strategic context, NOT a capability regression. Phase 4 cites the pricing page but records no numeric tiers. Phase 3 composite 4.95 historical, NOT recomputed"
PF-04,GitHub Copilot,GitHub / Microsoft,4,GitHub-native lifecycle agent,Developer / enterprise team,Global,"VS Code, Visual Studio, JetBrains, Neovim and other editors; CLI; GitHub.com; desktop Copilot app; mobile/remote-control surfaces",Stratum A - independently observable mainstream adoption; structurally important despite relative survey decline,Independent signal; Vendor claim,A,Agentic Coding / Software Engineering Agent,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Model-agnostic at the product layer with multiple model providers exposed; the model catalog changes rapidly and model choice sits below the agent-system layer,"Multiple related agent runtimes across IDE agent mode, Copilot CLI, cloud agent and the Copilot app, with custom agents, subagents, skills and hooks as explicit runtime customization primitives","Local IDE/CLI execution plus a configured cloud development environment with dependencies, secrets and variables","Entry: prompt, issue, PR or GitHub task; Exit: PR / review / merge-oriented artifact",Custom agents and subagents with parallel agent workflows,"GitHub code review, diffs and agent-generated PRs inside the native Git/PR workflow, with enterprise policy controls","Free, Pro USD 10/month, Pro+ USD 39/month, Max USD 100/month; agent/chat/CLI usage consumes GitHub AI Credits at USD 0.01 each while code completion does not; Business/Enterprise add centralized policy and admin controls with sales-led pricing","Broadest ecosystem among the Top 10: GitHub repositories/issues/PRs, GitHub Actions, enterprise identity, IDE integrations, MCP, agent skills, plugins, custom agents and the GitHub developer community","GitHub Copilot's deepest advantage is owning the software-delivery graph, not the editor",Unknown,Not separately assessed in Phase 5 21; no per-product benchmark-coverage statement is recorded for this product,Dominant paradigm: GitHub-native lifecycle agent; Secondary overlap: multi-agent cloud workflow,GitHub Lifecycle Leader,High,2026-08-31,S001;S043;S044;S045;S046;S047;S048;S049;S050;S051,P1;P2;P3;P4;P5;P6;P7,"Complete internal state machine for planning, tool ranking, hidden evaluators and model-routing policies","Phase 4 product-04 evidence ledger records that third-party agents Claude Code and Codex are available through the Pro plan; this is a distribution fact, NOT a ranking input or an endorsement (hazard H-28). Phase 3 composite 4.70 historical, NOT recomputed"
PF-05,Devin,Cognition,5,Human-managed autonomous SWE / agent fleet,Engineer / engineering manager,Global,"Devin Desktop, cloud sessions, editor/IDE workflow, API/MCP integrations",Stratum B - strategic-scale agent platform; vendor-reported scale with no equivalent independent survey signal,Vendor claim; Ecosystem signal,B,Autonomous Software Engineering Agent,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Partial,Partial,Confirmed,"Model mix is product-dependent and can change; architecturally the product is a harness/runtime invoking coding models plus environment, knowledge and workflow primitives","Session-centric proprietary harness with an outer fleet layer that creates, groups, schedules and reviews agent sessions",Local and cloud execution with persistent sessions; parallel and child sessions are controllable through API and MCP,Entry: outcome-oriented task; Exit: PR / artifact / reviewed session,Child and parallel sessions plus fleets,"Human acts as planner, delegator, reviewer and exception handler across sessions and fleets",Usage-oriented agent compute model with session-level ACU limits; exact consumer/enterprise packaging is time-sensitive and no public price tiers are recorded in the Phase 4 dossier,"API/MCP layer, repository integrations, IDE/editor connectivity, playbooks, knowledge management and scheduling; MCP exposes Devin capabilities to other agents, enabling agent-to-agent orchestration",Devin's innovation is to package autonomous coding as a unit of organizational labor,Unknown,"Public benchmark coverage is incomplete, especially for product-unique workflows; benchmark is supporting evidence only and no isomorphic leaderboard is required before a judgment",Dominant paradigm: Delegated multi-agent SWE system; Secondary overlap: enterprise agent workforce,Agent-Fleet / Autonomous SWE Leader,Medium-High,2026-08-31,S052;S053;S054;S055;S056,P1;P2;P3;P4;P5;P6;P7,"Hidden planner implementation, exact model router, evaluator internals and decision policy are not fully disclosed",1M+ users and 4000+ enterprise customers are VENDOR CLAIMS and must not be upgraded to independent fact. Devin Desktop is the new name for Windsurf. Skills normalised from Phase 4 'Partially confirmed' to Partial; Sandbox normalised from 'Confirmed / environment-dependent' to Partial per rule R4. Phase 2 12.1 coverage recorded as B+/A-; canonical Phase 1 grade B retained
PF-06,Google Antigravity,Google,6,Agent command center,Developer / agent operator,Global,"Standalone desktop, CLI, SDK/runtime, integrated browser/Chrome and cloud/enterprise integration",Not assigned to a market stratum by Phase 6 4.2 or Phase 7 4.2; 6% independent survey adoption signal plus Google/Gemini distribution adjacency,Independent signal; Ecosystem signal,A,Autonomous Software Engineering Agent,Confirmed,Confirmed,Confirmed,Confirmed,Partial,Confirmed,Confirmed,Confirmed,Partial,Confirmed,Confirmed,Confirmed,Partial,Gemini model families; exact model variants can evolve and enterprise use is supported through Gemini Enterprise Agent Platform projects,Shared Antigravity harness across desktop and CLI; Google states the CLI provides the same harness and agent as Antigravity 2.0,Desktop and CLI with terminal sandboxing plus an enterprise cloud path; exact low-level runtime isolation mechanisms are only partially documented,Entry: high-level agent task; Exit: artifact / code change / continued agent work,Background agents and subagents monitored through the /agents agent manager,"Human monitors background agents, inspects artifacts and intervenes selectively",Access tied to the Google/Gemini ecosystem; consumer/individual packaging is time-sensitive and no public price tiers are recorded in the Phase 4 dossier; enterprise teams can route inference through Google Cloud Agent Platform,"Gemini ecosystem, Chrome/browser integration, Google Cloud, MCP and a plugin architecture bundling agents, skills, rules, hooks and MCP; the Gemini CLI to Antigravity CLI migration reduces fragmentation in the Google stack",Antigravity's key innovation is replacing the IDE as the primary human interface with an agent operations console,Unknown,"Public benchmark coverage is incomplete, especially for product-unique workflows; benchmark is supporting evidence only",Dominant paradigm: Agent command center; Secondary overlap: delegated multi-agent plus cloud/enterprise,Agent Command Center Leader,Medium-High,2026-08-31,S057;S058;S059;S060;S061;S062;S063,P1;P2;P3;P4;P5;P6;P7,Internal planning and evaluation logic and detailed consumer economics remain Unknown or only partially public,Verification normalised from the Phase 6 matrix compound 'P/C' to Partial per rule R3; Cloud agent normalised from Phase 4 'Partially confirmed' to Partial; Sandbox normalised from 'Confirmed / internal detail limited' to Confirmed per rule R5. Gemini CLI is merged into this family and must not be double-counted. Phase 6 4.2 and Phase 7 4.2 assign this product to NO market stratum; market_significance records that gap rather than inventing a stratum
PF-07,Replit Agent,Replit,7,Idea to Production,Developer + product/design/business builder,Global,"Web/cloud workspace with integrated design, code, runtime, database and deployment; mobile/web creation flows",Stratum B - strategic-scale agent platform; platform-level vendor scale with the agent-only denominator unavailable,Vendor claim,B,Autonomous / Product-building Agent,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Partial,Partial,Partial,Confirmed,Confirmed,Powered by large language models; the exact provider/model mix is dynamic and product capability must be separated from whichever model serves a particular session,"Tightly integrated into the Replit development platform; the agent plans, modifies files, runs code, provisions environment components and iterates toward a working application","Managed cloud development environment with execution, preview and deployment",Entry: idea / product requirement; Exit: running or deployed application,Parallel agents in Agent 4 merging component work back into the main application,Visual preview and iterative feedback on the running application,Free daily agent usage; Core USD 20/month; Pro USD 100/month; effort-based/pay-as-you-go controls; enterprise custom,"Vertical integration of development workspace, runtime, database, hosting/deployment and agent in one system, lowering infrastructure friction for non-specialist builders",Replit shows that the strongest coding-agent product may not start from the repository at all,Unknown,"Public benchmark coverage is incomplete, especially for product-unique workflows; benchmark is supporting evidence only",Dominant paradigm: Idea-to-production agent; Secondary overlap: cloud product-building,Idea-to-Production Leader,Medium-High,2026-08-31,S064;S065;S066;S067;S068,P1;P2;P3;P4;P5;P6;P7,"Deep internal evaluator and memory architecture, and some external-tool semantics, remain Unknown",The 50M+ platform users and 85% Fortune 500 usage figures are Replit PLATFORM-level vendor claims and are not equivalent to agent-only adoption. MCP and Skills normalised from Phase 4 'Partially confirmed' to Partial. Selected deliberately to stretch the category boundary per Phase 6 18.5
PF-08,OpenCode,OpenCode / SST ecosystem,8,"Open, provider-agnostic terminal agent harness",Developer,Global,"CLI/TUI, desktop; client/server architecture supports remote driving",Stratum C - open / architecture-significant challenger; unusually strong independent survey adoption for an open-source project,Independent signal; Ecosystem signal,A,Agentic Coding / Software Engineering Agent,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Partial,Confirmed,Partial,Confirmed,Confirmed,Partial,Not primary,"Explicitly provider-agnostic with many providers including OpenAI, Anthropic, Google, Bedrock, Azure OpenAI, OpenRouter and xAI; optional OpenCode Zen adds a curated pay-as-you-go routing layer","Open-source user-modifiable harness with Build and Plan primary agents plus subagents, each with configurable prompts, tools/permissions and model selection","Primarily local/terminal-oriented; client/server architecture separates the TUI/frontend from the coding-agent process, enabling remote clients",Entry: terminal task; Exit: user-controlled patch / commit / PR,Build/Plan primary agents plus subagents with restricted tool contexts,Plan agent is read-only for analysis/review while Build has full tool access; verification runs through the terminal tool loop and a user-controlled Git workflow,Core software open source under MIT; optional OpenCode Zen model routing billed pay-as-you-go per 1M tokens,"GitHub contributors, model providers, OpenCode Zen, MCP servers, skills, community configurations and the terminal/Neovim culture; provider-agnostic switching between proprietary, open and local endpoints without replacing the harness",OpenCode proves that the agent harness itself can become an open software layer independent of model vendors,Unknown,"Public benchmark coverage is incomplete, especially for product-unique workflows; benchmark is supporting evidence only",Dominant paradigm: Open / provider-agnostic harness; Secondary overlap: terminal-first SWE,Open-source Agent Harness Leader,High,2026-08-31,S069;S070;S071;S072;S073,P1;P2;P3;P4;P5;P6;P7,Compared with Qoder/Devin a first-class semantic long-term memory system is not a defining documented primitive; hosted cloud-fleet capabilities are not the core product and must not be inferred,"Cloud agent state is Not primary per Phase 4 product-08: client/server can be remote-controlled but the product is primarily a local/open harness. Sandbox normalised from 'Partially confirmed' to Partial. Canonical GitHub URL github.com/anomalyco/opencode with github.com/sst/opencode recorded as an alternate (hazard H-07). GitHub stars/forks are ecosystem signals, not user counts"
PF-09,Qoder,Alibaba Cloud / Qoder,9,Persistent task-centric engineering,Developer / team,Global + China,"IDE, CLI, JetBrains/VS Code ecosystem, QoderWork/CN surfaces, Cloud Agents, SDK/API",Stratum B - strategic-scale agent platform; vendor-reported scale with no unified independent denominator,Vendor claim; Ecosystem signal,B,Software Engineering Agent / Autonomous,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Frontier-model aggregation and smart routing rather than a single vendor lock; model selection/routing is exposed as a product concern separate from the agent harness,"Explicit task-centric harness keeping planning, execution, verification and self-correction in a continuous loop; long-running tasks retain context, adapt to real results and can retry or roll back","Local CLI/IDE execution plus persistent Qoder Cloud containers; local-CLI-specific controls are not all available in cloud runtime, so local and cloud harnesses are not identical implementations",Entry: goal / Agent / Quest; Exit: completed task / validated artifact,Batch/subagents with isolated Git worktrees plus cloud agents and scheduled background tasks,User interruption and review plus artifact/status inspection; Quest converts structured requirements into an autonomous implementation path,"Free, Pro USD 20/month, Pro+ USD 60/month, Ultra USD 200/month using monthly Credit quotas; Cloud Agent sandbox runtime metered from 2026-08-10; Qoder CN has a separate China pricing structure","IDE integrations, JetBrains/VS Code surfaces, GitHub repositories, 70+ plugins, thousands of skills/connectors, MCP, enterprise workspaces and cloud APIs",Qoder is one of the clearest examples of the coding agent becoming a persistent task runtime rather than a transient chat session,Unknown,"Public benchmark coverage is incomplete, especially for product-unique workflows; benchmark is supporting evidence only",Dominant paradigm: Persistent task-centric workspace; Secondary overlap: spec-driven plus cloud/background agents,Persistent Task-centric Leader,Medium-High,2026-08-31,S074;S075;S076;S077;S078;S079;S080;S081;S082,P1;P2;P3;P4;P5;P6;P7,Some internal orchestration logic and the implementation boundary between the local and cloud harness remain Unknown; market scale figures remain vendor claims,"6M+ users and 100K+ businesses are VENDOR CLAIMS recorded in the 2026-08-26 changelog. Tongyi Lingma is merged into this family as Qoder CN, renamed 2026-05-20. Selected on evidence rather than a geographic quota per Phase 3 8.5. Phase 4 records the Quest workflow at Medium-High confidence from a customer case plus docs"
PF-10,Factory,Factory AI,10,Enterprise autonomous software engineering / Droids,Enterprise engineering team,Global,"Web/control plane, IDE integrations, terminal, Slack, browser, and deployment environments including CI/VM/Kubernetes/air-gapped systems",Stratum B - strategic-scale agent platform; no clean independent adoption denominator located,Vendor claim; Ecosystem signal,Unknown,Autonomous Software Engineering Agent,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Confirmed,Partial,Partial,Partial,Partial,Partial,"Routes tasks across multiple model providers and families including Claude, GPT and Gemini classes, making model choice a replaceable substrate under the Droid abstraction","Droid harness / control plane responsible for deciding when to inspect code, patch files, execute tools and continue the loop, with adjustable autonomy and organization-specific instructions","Laptops, CI, VMs, Kubernetes and air-gapped infrastructure, with devcontainers and VMs providing isolation",Entry: ticket / workflow trigger / engineering objective; Exit: PR / artifact / CI or deployment handoff,Multiple Droids / fleet with an outer governance and approval layer,Adjustable autonomy with human or policy approval gates placed where risk requires them,"Public tiers approximately USD 20/month Pro, USD 100/month Plus, USD 200/month Max and USD 60/user/month Teams, with enterprise sales-led; customer-managed compute in CI/VM/Kubernetes can replace vendor-hosted execution","IDE, terminal, browser, Slack and enterprise infrastructure integration; the deploy-anywhere model connects the agent to existing CI/CD, Kubernetes and security environments; model-provider diversity lets the Droid layer survive provider changes","Factory's strongest idea is that enterprise coding agents should be deployable software infrastructure, not only SaaS features",Unknown,"Public benchmark coverage is incomplete, especially for product-unique workflows; benchmark is supporting evidence only",Dominant paradigm: Enterprise autonomous SWE control plane; Secondary overlap: deploy-anywhere runtime,Enterprise Deploy-anywhere Runtime Leader,Medium,2026-08-31,S083;S084;S085;S086;S087;S088,P1;P2;P3;P4;P5;P6;P7,"Complete internal planner graph, hidden routing/evaluation system and exact policy engine are not publicly specified; a semantically rich persistent memory architecture equivalent to Claude Code auto memory or Qoder Memory Store is not as clearly documented","Selected at position 10 by the Phase 3 8.1 research judgment despite the lowest composite among the ten; this must not be presented as a weakness or re-ranked. Phase 1 class is Secondary and Phase 1 evidence grade is C. No Phase 2 4.1 market-matrix row exists, so market_evidence_grade is Unknown; confidence is taken from Phase 6 4.1. Long-running and multi-agent are Confirmed but Phase 6 marks them C* dependent on deployment/orchestration configuration, and that caveat is preserved per rule R3. MCP normalised from 'Confirmed / integration-dependent', Sandbox from 'Confirmed / deployment-dependent', Cloud agent from 'Partially confirmed'"
